participant_id,timestamp,clip_id,dataset_key,reference_option,candidate_options,contact_rank1,contact_rank2,contact_rank3,reaction_rank1,reaction_rank2,reaction_rank3,realism_rank1,realism_rank2,realism_rank3
cfy,2026-05-06T18:00:46,clip_008,G053T000A000R001,D,"A,B,C",B,A,C,B,C,A,B,A,C
cfy,2026-05-06T18:00:46,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,B,C,A,B,C,A
cfy,2026-05-06T18:00:46,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,C,A,B,A,C,B
dae21,2026-05-06T18:27:20,clip_001,G002T000A001R005,D,"A,B,C",C,B,A,C,B,A,C,A,B
dae21,2026-05-06T18:27:20,clip_002,G016T000A001R013,D,"A,B,C",B,C,A,B,C,A,B,C,A
dae21,2026-05-06T18:27:20,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,A,C
dae21,2026-05-06T18:27:20,clip_004,G027T004A021R004,D,"A,B,C",B,A,C,B,A,C,B,A,C
dae21,2026-05-06T18:27:20,clip_005,G032T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,C,A
dae21,2026-05-06T18:27:20,clip_006,G033T000A001R004,D,"A,B,C",C,B,A,C,A,B,C,A,B
dae21,2026-05-06T18:27:20,clip_007,G043T003A016R010,D,"A,B,C",A,B,C,A,C,B,A,C,B
dae21,2026-05-06T18:27:20,clip_008,G053T000A000R001,D,"A,B,C",B,C,A,B,C,A,B,C,A
dae21,2026-05-06T18:27:20,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,C,B,A,C,B,A
dae21,2026-05-06T18:27:20,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,C,B,A,C,B,A
cu7,2026-05-06T18:58:53,clip_001,G002T000A001R005,D,"A,B,C",C,B,A,C,B,A,C,B,A
cu7,2026-05-06T18:58:53,clip_002,G016T000A001R013,D,"A,B,C",A,C,B,A,C,B,A,C,B
cu7,2026-05-06T18:58:53,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,A,C
cu7,2026-05-06T18:58:53,clip_004,G027T004A021R004,D,"A,B,C",A,B,C,A,B,C,A,B,C
cu7,2026-05-06T18:58:53,clip_005,G032T000A001R006,D,"A,B,C",C,B,A,C,B,A,C,A,B
cu7,2026-05-06T18:58:53,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,C,A,B,C,A,B
cu7,2026-05-06T18:58:53,clip_007,G043T003A016R010,D,"A,B,C",C,B,A,C,B,A,C,B,A
cu7,2026-05-06T18:58:53,clip_008,G053T000A000R001,D,"A,B,C",C,A,B,C,A,B,C,A,B
cu7,2026-05-06T18:58:53,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,B,C,A,B,C,A
cu7,2026-05-06T18:58:53,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,A,C,B,C,A,B
cu7,2026-05-06T18:58:55,clip_001,G002T000A001R005,D,"A,B,C",C,B,A,C,B,A,C,B,A
cu7,2026-05-06T18:58:55,clip_002,G016T000A001R013,D,"A,B,C",A,C,B,A,C,B,A,C,B
cu7,2026-05-06T18:58:55,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,A,C
cu7,2026-05-06T18:58:55,clip_004,G027T004A021R004,D,"A,B,C",A,B,C,A,B,C,A,B,C
cu7,2026-05-06T18:58:55,clip_005,G032T000A001R006,D,"A,B,C",C,B,A,C,B,A,C,A,B
cu7,2026-05-06T18:58:55,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,C,A,B,C,A,B
cu7,2026-05-06T18:58:55,clip_007,G043T003A016R010,D,"A,B,C",C,B,A,C,B,A,C,B,A
cu7,2026-05-06T18:58:55,clip_008,G053T000A000R001,D,"A,B,C",C,A,B,C,A,B,C,A,B
cu7,2026-05-06T18:58:55,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,B,C,A,B,C,A
cu7,2026-05-06T18:58:55,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,A,C,B,C,A,B
cu7,2026-05-06T18:59:20,clip_001,G002T000A001R005,D,"A,B,C",C,B,A,C,B,A,C,B,A
cu7,2026-05-06T18:59:20,clip_002,G016T000A001R013,D,"A,B,C",A,C,B,A,C,B,A,C,B
cu7,2026-05-06T18:59:20,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,A,C
cu7,2026-05-06T18:59:20,clip_004,G027T004A021R004,D,"A,B,C",A,B,C,A,B,C,A,B,C
cu7,2026-05-06T18:59:20,clip_005,G032T000A001R006,D,"A,B,C",C,B,A,C,B,A,C,A,B
cu7,2026-05-06T18:59:20,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,C,A,B,C,A,B
cu7,2026-05-06T18:59:20,clip_007,G043T003A016R010,D,"A,B,C",C,B,A,C,B,A,C,B,A
cu7,2026-05-06T18:59:20,clip_008,G053T000A000R001,D,"A,B,C",C,A,B,C,A,B,C,A,B
cu7,2026-05-06T18:59:20,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,B,C,A,B,C,A
cu7,2026-05-06T18:59:20,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,A,C,B,C,A,B
sirui,2026-05-06T19:06:41,clip_001,G002T000A001R005,D,"A,B,C",C,A,B,C,B,A,C,A,B
sirui,2026-05-06T19:06:41,clip_002,G016T000A001R013,D,"A,B,C",C,A,B,C,A,B,C,B,A
sirui,2026-05-06T19:06:41,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,C,A,B,A,C
sirui,2026-05-06T19:06:41,clip_004,G027T004A021R004,D,"A,B,C",A,B,C,A,B,C,A,B,C
sirui,2026-05-06T19:06:41,clip_005,G032T000A001R006,D,"A,B,C",C,B,A,C,B,A,C,A,B
sirui,2026-05-06T19:06:41,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,C,A,B,C,B,A
sirui,2026-05-06T19:06:41,clip_007,G043T003A016R010,D,"A,B,C",C,B,A,C,B,A,B,C,A
sirui,2026-05-06T19:06:41,clip_008,G053T000A000R001,D,"A,B,C",B,C,A,C,B,A,C,A,B
sirui,2026-05-06T19:06:41,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,B,C,A,C,B,A
sirui,2026-05-06T19:06:41,clip_010,G053T003A016R006,D,"A,B,C",A,C,B,C,A,B,A,C,B
zhuomin,2026-05-06T19:13:11,clip_001,G002T000A001R005,D,"A,B,C",C,A,B,C,B,A,C,B,A
zhuomin,2026-05-06T19:13:11,clip_002,G016T000A001R013,D,"A,B,C",C,A,B,C,B,A,C,A,B
zhuomin,2026-05-06T19:13:11,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,C,A,B,A,C
zhuomin,2026-05-06T19:13:11,clip_004,G027T004A021R004,D,"A,B,C",A,B,C,B,A,C,A,C,B
zhuomin,2026-05-06T19:13:11,clip_005,G032T000A001R006,D,"A,B,C",C,B,A,C,A,B,C,B,A
zhuomin,2026-05-06T19:13:11,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,B,C,A,B,C,A
zhuomin,2026-05-06T19:13:11,clip_007,G043T003A016R010,D,"A,B,C",B,A,C,A,B,C,B,A,C
zhuomin,2026-05-06T19:13:11,clip_008,G053T000A000R001,D,"A,B,C",B,A,C,B,A,C,C,A,B
zhuomin,2026-05-06T19:13:11,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,C,B,A,B,C,A
zhuomin,2026-05-06T19:13:11,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,A,C,B,C,A,B
zhaozhen,2026-05-06T19:18:08,clip_001,G002T000A001R005,D,"A,B,C",C,A,B,C,B,A,B,C,A
zhaozhen,2026-05-06T19:18:08,clip_002,G016T000A001R013,D,"A,B,C",C,A,B,B,C,A,B,C,A
zhaozhen,2026-05-06T19:18:08,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,A,C
zhaozhen,2026-05-06T19:18:08,clip_004,G027T004A021R004,D,"A,B,C",B,A,C,A,C,B,B,A,C
zhaozhen,2026-05-06T19:18:08,clip_005,G032T000A001R006,D,"A,B,C",C,B,A,C,A,B,B,C,A
zhaozhen,2026-05-06T19:18:08,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,A,C,B,A,B,C
zhaozhen,2026-05-06T19:18:08,clip_007,G043T003A016R010,D,"A,B,C",C,B,A,B,A,C,C,A,B
zhaozhen,2026-05-06T19:18:08,clip_008,G053T000A000R001,D,"A,B,C",C,B,A,B,A,C,C,B,A
zhaozhen,2026-05-06T19:18:08,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,C,B,A,B,C,A
zhaozhen,2026-05-06T19:18:08,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,A,C,B,C,A,B
zhixin,2026-05-06T20:20:55,clip_001,G002T000A001R005,D,"A,B,C",B,C,A,B,C,A,B,C,A
zhixin,2026-05-06T20:20:55,clip_002,G016T000A001R013,D,"A,B,C",C,A,B,B,C,A,C,A,B
zhixin,2026-05-06T20:20:55,clip_003,G017T000A001R006,D,"A,B,C",B,C,A,B,C,A,B,A,C
zhixin,2026-05-06T20:20:55,clip_004,G027T004A021R004,D,"A,B,C",B,A,C,A,C,B,B,C,A
zhixin,2026-05-06T20:20:55,clip_005,G032T000A001R006,D,"A,B,C",C,A,B,B,C,A,C,A,B
zhixin,2026-05-06T20:20:55,clip_006,G033T000A001R004,D,"A,B,C",A,B,C,A,C,B,A,B,C
zhixin,2026-05-06T20:20:55,clip_007,G043T003A016R010,D,"A,B,C",C,B,A,A,C,B,A,C,B
zhixin,2026-05-06T20:20:55,clip_008,G053T000A000R001,D,"A,B,C",A,B,C,C,B,A,C,B,A
zhixin,2026-05-06T20:20:55,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,C,B,A,B,C,A
zhixin,2026-05-06T20:20:55,clip_010,G053T003A016R006,D,"A,B,C",C,B,A,A,C,B,C,A,B
feng,2026-05-06T20:25:37,clip_001,G002T000A001R005,D,"A,B,C",C,B,A,B,A,C,B,A,C
feng,2026-05-06T20:25:37,clip_002,G016T000A001R013,D,"A,B,C",C,A,B,C,A,B,B,A,C
feng,2026-05-06T20:25:37,clip_003,G017T000A001R006,D,"A,B,C",C,A,B,C,B,A,C,A,B
feng,2026-05-06T20:25:37,clip_004,G027T004A021R004,D,"A,B,C",C,B,A,B,A,C,C,A,B
feng,2026-05-06T20:25:37,clip_005,G032T000A001R006,D,"A,B,C",B,C,A,B,A,C,B,A,C
feng,2026-05-06T20:25:37,clip_006,G033T000A001R004,D,"A,B,C",B,C,A,B,A,C,C,B,A
feng,2026-05-06T20:25:37,clip_007,G043T003A016R010,D,"A,B,C",C,B,A,C,B,A,C,B,A
feng,2026-05-06T20:25:37,clip_008,G053T000A000R001,D,"A,B,C",A,B,C,A,B,C,C,B,A
feng,2026-05-06T20:25:37,clip_009,G053T000A000R004,D,"A,B,C",B,A,C,B,A,C,B,A,C
feng,2026-05-06T20:25:37,clip_010,G053T003A016R006,D,"A,B,C",A,C,B,B,A,C,B,A,C
yecheng,2026-05-06T20:30:24,clip_001,G002T000A001R005,D,"A,B,C",A,B,C,C,B,A,B,C,A
yecheng,2026-05-06T20:30:24,clip_002,G016T000A001R013,D,"A,B,C",B,A,C,A,C,B,C,A,B
yecheng,2026-05-06T20:30:24,clip_003,G017T000A001R006,D,"A,B,C",B,C,A,A,B,C,B,A,C
yecheng,2026-05-06T20:30:24,clip_004,G027T004A021R004,D,"A,B,C",B,C,A,A,B,C,B,C,A
yecheng,2026-05-06T20:30:24,clip_005,G032T000A001R006,D,"A,B,C",B,C,A,C,B,A,C,A,B
yecheng,2026-05-06T20:30:24,clip_006,G033T000A001R004,D,"A,B,C",C,B,A,B,A,C,A,B,C
yecheng,2026-05-06T20:30:24,clip_007,G043T003A016R010,D,"A,B,C",B,A,C,B,C,A,C,A,B
yecheng,2026-05-06T20:30:24,clip_008,G053T000A000R001,D,"A,B,C",A,B,C,C,A,B,A,C,B
yecheng,2026-05-06T20:30:24,clip_009,G053T000A000R004,D,"A,B,C",B,A,C,A,C,B,C,B,A
yecheng,2026-05-06T20:30:24,clip_010,G053T003A016R006,D,"A,B,C",A,B,C,C,B,A,B,C,A
yanheng,2026-05-06T20:35:01,clip_001,G002T000A001R005,D,"A,B,C",B,A,C,C,B,A,B,C,A
yanheng,2026-05-06T20:35:01,clip_002,G016T000A001R013,D,"A,B,C",A,B,C,C,B,A,B,A,C
yanheng,2026-05-06T20:35:01,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,A,B,C,A,C,B
yanheng,2026-05-06T20:35:01,clip_004,G027T004A021R004,D,"A,B,C",A,B,C,C,B,A,C,B,A
yanheng,2026-05-06T20:35:01,clip_005,G032T000A001R006,D,"A,B,C",B,A,C,C,B,A,B,A,C
yanheng,2026-05-06T20:35:01,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,C,A,B,B,C,A
yanheng,2026-05-06T20:35:01,clip_007,G043T003A016R010,D,"A,B,C",B,A,C,C,B,A,C,B,A
yanheng,2026-05-06T20:35:01,clip_008,G053T000A000R001,D,"A,B,C",B,A,C,A,B,C,B,A,C
yanheng,2026-05-06T20:35:01,clip_009,G053T000A000R004,D,"A,B,C",C,B,A,C,B,A,C,B,A
yanheng,2026-05-06T20:35:01,clip_010,G053T003A016R006,D,"A,B,C",A,B,C,A,B,C,A,B,C
