clip_id,dataset_key,source_name,option,method,src_path,anon_path
clip_006,G033T000A001R004,G033T000A001R004-pack02,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G033T000A001R004-pack02-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_006/B.mp4
clip_006,G033T000A001R004,G033T000A001R004-pack02,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G033T000A001R004-pack02-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_006/C.mp4
clip_006,G033T000A001R004,G033T000A001R004-pack02,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G033T000A001R004-pack02-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_006/D.mp4
clip_007,G043T003A016R010,G043T003A016R010,A,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G043T003A016R010-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_007/A.mp4
clip_007,G043T003A016R010,G043T003A016R010,B,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G043T003A016R010-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_007/B.mp4
clip_007,G043T003A016R010,G043T003A016R010,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G043T003A016R010-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_007/C.mp4
clip_007,G043T003A016R010,G043T003A016R010,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G043T003A016R010-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_007/D.mp4
clip_008,G053T000A000R001,G053T000A000R001-pack02,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R001-pack02-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_008/A.mp4
clip_008,G053T000A000R001,G053T000A000R001-pack02,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R001-pack02-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_008/B.mp4
clip_008,G053T000A000R001,G053T000A000R001-pack02,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R001-pack02-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_008/C.mp4
clip_008,G053T000A000R001,G053T000A000R001-pack02,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R001-pack02-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_008/D.mp4
clip_009,G053T000A000R004,G053T000A000R004,A,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R004-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_009/A.mp4
clip_009,G053T000A000R004,G053T000A000R004,B,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R004-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_009/B.mp4
clip_009,G053T000A000R004,G053T000A000R004,C,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R004-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_009/C.mp4
clip_009,G053T000A000R004,G053T000A000R004,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R004-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_009/D.mp4
clip_010,G053T003A016R006,G053T003A016R006,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T003A016R006-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_010/A.mp4
clip_010,G053T003A016R006,G053T003A016R006,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T003A016R006-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_010/B.mp4
clip_010,G053T003A016R006,G053T003A016R006,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T003A016R006-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_010/C.mp4
clip_010,G053T003A016R006,G053T003A016R006,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T003A016R006-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_010/D.mp4
